id,title,slug,category,level,description,image,thumbnail,price,original_price,duration,lesson_count,rating,reviews_count,enrolled_students,instructor_name,instructor_avatar,outline,progress_enabled,created_at
"9","Online Quran Tajweed Course","online-quran-tajweed-course","Quran","Intermediate","This Online Quran Tajweed Course is designed for students who already know basic Quran reading and want to improve their recitation with proper Tajweed rules.

Students will learn correct makharij, rules of Noon Saakin and Tanween, Madd, Qalqalah, Ikhfa, Idgham, and proper Quranic fluency. Classes are conducted one-on-one by qualified and experienced Quran teachers.

This course is suitable for children, teenagers, and adults worldwide.
","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/ab6abc71-e8cc-4b42-b7ed-3f058c0a3258.png","","35","40","3 Months","24","5","12","20","Qari Muhammad Ahmed","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/770ff8fa-fc98-46a2-a1ae-4b2a70e62fd0.jpeg","","true","2026-01-24T07:00:19.406039+00:00"
"8","Online Quran Nazra Course","online-quran-nazra-course","Quran","Beginner","This Online Quran Nazra Course is designed for children and adults who want to learn Quran reading from basic to fluent recitation.

Students will learn proper pronunciation, correct makharij, and smooth Quran reading with the guidance of qualified online Quran teachers. One-to-one online classes are available worldwide.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/86350483-214b-49d2-857f-f56afb40828b.png","","30","25","2 Months","24","5","15","30","Sheikh Muhammad Abdullah","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/31a791e2-3fa7-4884-ae26-805a13f55f9d.jpeg","","true","2026-01-23T11:00:47.657946+00:00"
"11","Online Quran with Tafseer Course","online quran with tafseer course","Quran","Advanced","This Online Quran with Tafseer Course is designed for students who want to understand the meaning, message, and wisdom of the Holy Quran along with correct recitation.
Students will learn basic Arabic meanings, Tafseer of selected Surahs, Quranic lessons for daily life, and moral guidance under qualified Islamic scholars.

One-to-one online classes are offered for students from UK, USA, Canada, Australia, Germany, France, Italy, UAE, and other countries searching for an authentic online Quran academy with deep Islamic understanding.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/7a36191d-6c9e-4926-badc-6eccad5211c5.png","","45","60","3","30","5","14","20","Mufti Abdul Basit","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/d9ede9f9-ccc5-46e8-bce2-82d4ab467e90.jpeg","","true","2026-01-24T07:09:52.028102+00:00"
"10","Online Quran Hifz Program","online-quran-hifz-program","Quran","Advanced","This Online Quran Hifz Program is designed for students who want to memorize the Holy Quran with proper Tajweed and revision system.

The program includes daily lessons, regular revision (Murajaah), and monthly assessments to ensure strong memorization. Experienced Huffaz guide students with a structured and disciplined approach.

This course is suitable for children and adults worldwide who are committed to memorizing the Quran.
","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/38367795-80d9-4de0-b58d-bcdba785d341.png","","50","65","6 Months","120","5","10","15","Hafiz Abdul Rehman","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/0702110d-8d88-490c-801e-1e64e5619b1f.jpeg","","true","2026-01-24T07:02:49.07876+00:00"
"14","Namaz & Daily Duas Course","namaz-and-daily-duas-online","Islamic Education","Beginner","This Namaz & Daily Duas Course is designed to help students learn the correct method of Salah along with essential daily life duas.
Students will understand step-by-step Namaz, Wudu, Sunnah practices, and Masnoon duas with meanings. The course focuses on practical learning for children and adults.

Ideal for families in UK, USA, Canada, Australia, UAE, Germany, and other countries seeking structured online Islamic education.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/5cc204df-6cf1-4c1c-be3a-ee48701b9619.png","","25","30","2 Months","16","5","11","40","Ustadah Fatima Zahra","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/f6a6e466-29f8-40a2-9feb-37ad85d1a563.jpeg","","true","2026-01-24T07:19:17.676857+00:00"
"17","Namaz & Daily Duas Course","namaz-and-daily-duas-online-course","Islamic Studies","Beginner","This Namaz & Daily Duas Course is designed for children and beginners who want to learn Salah step by step with correct method and understanding.

Students will learn Farz, Wajib, Sunnah, method of prayer, masnoon duas, daily life supplications, and basic Islamic manners. The course focuses on building a strong habit of prayer and connection with Allah.

Suitable for students and families in UK, USA, Canada, Australia, UAE, Germany, France, and worldwide looking for structured learning through an online Quran academy.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/77fd6a9e-6530-47a8-8575-f5cfd71036b8.png","","30","35","1.5 Months","12","5","9","18","Ustadha Ayesha Noor","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/927540ee-7cfb-4ccb-b012-926f49fe54a1.jpeg","","true","2026-01-24T07:29:32.715594+00:00"
"19","Islamic Manners & Akhlaq Course","islamic-manners-and-akhlaq-course","Islamic Studies","Beginner","This Islamic Manners & Akhlaq Course focuses on developing good character, Islamic etiquette, and moral values in children and adults according to the Quran and Sunnah.

Students will learn daily Islamic manners, respect for parents and elders, honesty, patience, kindness, cleanliness, and social behavior. This course helps parents build strong Islamic character in children through a trusted online Islamic academy.

Suitable for students in UK, USA, Canada, Australia, UAE, Saudi Arabia, Germany, France, and worldwide.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/33c8c33b-1bea-4575-999d-41c2265c29b0.png","","25","30","1 Month","12","5","9","18","Ustadha Ayesha Noor","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/03bcc122-ae28-4833-83f8-48980170765b.jpeg","","true","2026-01-24T08:07:08.249041+00:00"
"13","Basic Arabic Language for Quran","basic-arabic-language-for-quran","Arabic Language","Beginner","This Basic Arabic Language for Quran course is designed for students who want to understand Quranic Arabic from the foundation level.
Students will learn Arabic letters, basic grammar, common Quranic words, sentence structure, and simple translation concepts to connect more deeply with the Quran.

This online Arabic course is ideal for learners from USA, UK, Canada, Australia, UAE, Germany, France, Italy, and other countries who want to improve their understanding of the Holy Quran.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/fdfdd5b5-2228-4940-a8db-352f61ebcc0a.png","","30","35","3 Months","30","5","14","25","Ustad Muhammad Salman","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/d53418e5-a20c-4133-bd6f-5a5a2e6b5a30.jpeg","","true","2026-01-24T07:14:45.971374+00:00"
"12","Islamic Studies for Kids","islamic-studies-for-kids-online","Islamic Studies","Beginner","This Islamic Studies for Kids course is specially designed to build a strong Islamic foundation in children through engaging and age-appropriate lessons.
Students will learn basic beliefs (Aqeedah), Islamic manners (Akhlaq), Seerah of Prophet ﷺ, basic Fiqh, daily Islamic practices, and moral values.

This online Islamic studies course is ideal for families in UK, USA, Canada, Australia, UAE, Germany, France, Italy, and other countries looking for trusted Islamic education for children in a safe online environment.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/104976ec-63d7-4828-8f1b-34a56030c0f7.png","","40","50","3","24","5","18","20","Ustadha Ayesha Noor","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/b173ace2-6503-459d-9a5f-5496138f2b6b.jpeg","","true","2026-01-24T07:12:06.950846+00:00"
"15","Fiqh & Basic Masail Course","fiqh-and-basic-masail-online","Islamic Education","Intermediate","This Fiqh & Basic Masail Course is designed to help students understand daily life Islamic rulings in an easy and practical way.
Students will learn Taharah (purity), Salah rulings, fasting rules, halal & haram concepts, and common Islamic masail according to authentic sources.

This online Islamic Fiqh course is suitable for students and families in USA, UK, Canada, Australia, UAE, Germany, France, and other countries seeking reliable Islamic guidance.","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/c2f9de67-24e3-4f5e-803f-de4d662af141.png","","30","35","3 Months","24","5","13","26","Mufti Bilal Ahmed","https://aawqtepmkpsiynxxokxn.supabase.co/storage/v1/object/public/media/courses/33ffd1d3-af97-41a9-922f-05c265de39ac.jpeg","","true","2026-01-24T07:23:31.189389+00:00"
